name,category,tradition,subtype,T,A,O,year,notes
Sigmund Freud,philosophy,Modern,,-0.5,0.5,0.3,1900,Psychoanalysis; determinism of unconscious; secular interiority.
Carl Jung,philosophy,Modern,,-0.2,0.6,0.8,1920,Archetypes; individuation; psyche as sacred totality.
Albert Einstein,science,Modern,,-0.5,0.6,0.5,1915,Relativity; rational cosmos; “God does not play dice.”
Bertrand Russell,philosophy,Modern,,-0.6,0.7,0.4,1920,Analytic logic; skeptical empiricism; secular ethics.
Jean-Paul Sartre,philosophy,Modern,,-0.5,0.9,0.2,1943,Existential freedom; immanent meaning; radical responsibility.
Simone de Beauvoir,philosophy,Modern,,-0.5,0.9,0.2,1949,Feminist existentialism; situated freedom and ethics.
Albert Camus,philosophy,Modern,,-0.6,0.6,0.1,1942,Absurdism; revolt as creation of meaning.
Alan Watts,philosophy,Modern,,0.2,0.8,0.8,1960,Zen-Taoist popularizer; Western integration of non-duality.
Aldous Huxley,philosophy,Modern,,0.1,0.7,0.8,1954,*Perennial Philosophy*; psychedelic mysticism; consciousness exploration.
Erich Fromm,philosophy,Modern,,-0.4,0.8,0.6,1950,HUMANIST psychoanalysis; love and freedom as moral creativity.
Abraham Maslow,philosophy,Modern,,-0.3,0.8,0.7,1954,Humanistic psychology; self-actualization and peak experience.
Carl Rogers,philosophy,Modern,,-0.3,0.9,0.7,1961,Client-centered therapy; organismic trust and empathy.
Buckminster Fuller,science,Modern,,0.1,0.8,0.7,1965,Comprehensive design science; synergy; planetary systems view.
Marshall McLuhan,philosophy,Modern,,0.1,0.7,0.6,1964,Media as extensions of consciousness; pattern perception.
Pierre Teilhard de Chardin,philosophy,Modern,,0.2,0.7,0.8,1955,Noosphere; cosmic Christ; evolution toward unity.
Ken Wilber,philosophy,Modern,,0.1,0.8,0.8,1990,Integral theory; synthesis of science and spirituality.
Terence McKenna,philosophy,Modern,,0.2,0.9,0.9,1995,Psychedelic consciousness; archaic revival; participatory cosmos.
Ram Dass,mysticism,Modern,,0.2,0.9,0.9,1970,*Be Here Now*; love and service; Western bhakti/advaita bridge.
Eckhart Tolle,mysticism,Modern,,0.1,0.9,0.9,2000,*Power of Now*; stillness and presence; secular non-duality.
Deepak Chopra,mysticism,Modern,,0.1,0.8,0.8,2005,Quantum healing; mind-body unity; modern Vedānta framing.
Rupert Sheldrake,science,Modern,,0.1,0.6,0.7,2012,Morphic resonance; participatory science; re-enchanted nature.
Elon Musk,politics,Modern,,-0.3,0.9,0.1,2020,Technological will; transhumanist agency; planetary colonization.
Yuval Noah Harari,philosophy,Modern,,-0.2,0.8,0.3,2020,Homo Deus; dataism; secular narrative of transcendence.
Marianne Williamson,mysticism,Modern,,0.1,0.8,0.8,2010,Course in Miracles teacher; love as social spirituality.
Jordan Peterson,philosophy,Modern,,-0.4,0.8,-0.1,2018,Mythic order and moral responsibility; tension between structure and freedom.
Sam Harris,philosophy,Modern,,-0.3,0.8,0.6,2020,Secular mindfulness; spirituality without religion.
Rupert Spira,mysticism,Modern,,0.0,0.8,0.9,2015,Non-dual awareness; consciousness as all-inclusive reality.
Enheduanna,philosophy,Mesopotamian,State Religion,0.6,0.2,-0.7,-2300,High priestess of Ur; hymns to Inanna; cosmic order via divine determinism.
Lucretius,philosophy,Hellenic,,0.4,0.3,0.6,-50,Atomist poet; *De Rerum Natura*; natural cycles and material immanence.
Marcus Aurelius,philosophy,Hellenic,Stoicism,0.2,0.3,0.4,175,Emperor-philosopher; Stoic acceptance; order through reason and fate.
Porphyry,philosophy,Hellenic,,0.0,0.4,-0.6,270,Neoplatonic ethicist; rational ascent to divine intellect.
Iamblichus,philosophy,Hellenic,,0.1,0.5,-0.7,320,Theurgic mysticism; ritual mediation between worlds.
Tertullian,theology,Christianity,Catholic,-0.9,0.2,-0.8,200,Dogmatic Latin Father; faith over reason; strict transcendence.
Zhu Xi,philosophy,Confucian,Classical,0.5,0.3,-0.4,1200,Neo-Confucian synthesis; moral principle (li) as cosmic order.
Wang Yangming,philosophy,Confucian,Classical,0.5,0.6,-0.3,1520,Unity of knowing and acting; mind as moral will; participatory idealism.
Hermes Trismegistus,mysticism,Hermetic,,0.3,0.6,-0.6,-100,Foundational Hermetic sage; “as above so below”; ascent through gnosis.
Paracelsus,science,Hermetic,,0.4,0.6,0.7,1520,Physician-alchemist; divine forces within matter; immanent healing.
Giordano Bruno,philosophy,Hermetic,,0.4,0.7,0.8,1600,Infinite cosmos; pantheism; cyclical emanation and return.
Helena Blavatsky,mysticism,Theosophy,,0.4,0.7,0.8,1880,Founder of Theosophical Society; esoteric evolution of consciousness.
Rudolf Steiner,philosophy,Anthroposophy,,0.4,0.8,0.8,1910,Spiritual science; reincarnation and planetary pedagogy.
Aleister Crowley,mysticism,Occult,,0.4,0.8,-0.5,1910,Thelema; magical will; self-deification through ritual.
Eliphas Lévi,mysticism,Occult,,0.3,0.7,-0.6,1855,French occult revivalist; *Dogme et Rituel de la Haute Magie*; synthesis of Kabbalah, alchemy, and Christian theurgy.
Dion Fortune,mysticism,Occult,,0.4,0.8,-0.4,1935,Founder of Society of Inner Light; psychospiritual occultism bridging mysticism and depth psychology.
Israel Regardie,mysticism,Occult,,0.3,0.8,-0.3,1940,Golden Dawn chronicler; integrated ceremonial magic with Jungian psychology; Western Kabbalistic synthesis.
Anton Wilhelm Amo,philosophy,Modern,,-0.4,0.7,-0.2,1730,African Enlightenment thinker; rational freedom; proto-humanist.
Kwame Nkrumah,politics,Modern,,-0.5,0.7,0.4,1960,Pan-African socialism; consciencism; dialectic of material and spirit.
Léopold Sédar Senghor,philosophy,Modern,,0.4,0.7,0.6,1950,Negritude; emotional reason; rhythmic participation in being.
Black Elk,mysticism,Indigenous,Animism,0.6,0.8,0.9,1890,Lakota visionary; sacred hoop; cosmic renewal through ritual.
Thomas Berry,philosophy,Modern,,0.5,0.8,0.9,1990,Ecotheologian; Universe Story; immanent sacred cosmology.
James Lovelock,science,Modern,,0.5,0.3,0.9,1972,Gaia hypothesis; self-regulating biosphere; planetary immanence.
Nikola Tesla,science,Modern,,0.3,0.8,0.7,1895,Technological mystic; resonance cosmology; creative cycles of energy.
Ray Kurzweil,science,Modern,,-0.4,0.9,0.2,2015,Singularity theorist; exponential progress; techno-teleology.
Donna Haraway,philosophy,Modern,,-0.2,0.9,0.6,2015,Cyborg feminism; posthuman relational ontology; hybrid immanence.
Robin Wall Kimmerer,philosophy,Indigenous,Animism,0.6,0.8,0.9,2015,*Braiding Sweetgrass*; reciprocity with land; kinship ethics.
Suhrawardī (Illuminationist),philosophy,Islam,,-0.3,0.6,-0.5,1186,Philosophy of illumination; divine light as hierarchical continuum.
Ibn Taymiyyah,theology,Islam,Salafi,-0.8,0.5,-0.8,1325,Literalist reformer; divine will absolute; anti-speculative transcendence.
Luisa Piccarreta,mysticism,Christianity,Catholic,-0.6,0.6,0.6,1910,Mystic of “Divine Will”; cyclical sanctification; participatory theosis.
